DATE	CUMULATIVE_COMPACTION
6/17/1980	0.000
6/24/1980	0.003
7/23/1980	0.037
7/30/1980	0.045
8/19/1980	0.057
9/16/1980	0.083
10/14/1980	0.103
11/10/1980	0.115
12/9/1980	0.125
1/6/1981	0.137
2/5/1981	0.144
3/5/1981	0.150
3/31/1981	0.160
4/28/1981	0.176
5/26/1981	0.186
6/22/1981	0.197
7/20/1981	0.209
8/18/1981	0.237
9/15/1981	0.254
10/13/1981	0.276
11/13/1981	0.287
12/8/1981	0.293
1/6/1982	0.302
2/2/1982	0.310
3/3/1982	0.320
3/30/1982	0.331
4/28/1982	0.345
5/25/1982	0.353
6/22/1982	0.392
7/20/1982	0.423
8/17/1982	0.449
9/14/1982	0.484
10/14/1982	0.511
11/9/1982	0.524
12/7/1982	0.530
1/4/1983	0.529
2/1/1983	0.530
3/2/1983	0.527
3/29/1983	0.529
4/26/1983	0.538
5/24/1983	0.549
6/21/1983	0.568
7/19/1983	0.584
8/17/1983	0.598
9/13/1983	0.599
10/12/1983	0.617
11/8/1983	0.628
12/5/1983	0.627
1/3/1984	0.630
1/31/1984	0.635
2/28/1984	0.640
3/27/1984	0.643
4/24/1984	0.663
5/22/1984	0.680
6/19/1984	0.697
7/17/1984	0.717
8/14/1984	0.729
9/11/1984	0.742
10/10/1984	0.754
11/6/1984	0.758
12/5/1984	0.763
1/2/1985	0.768
1/29/1985	0.769
2/27/1985	0.766
3/27/1985	0.763
4/23/1985	0.774
5/21/1985	0.805
6/18/1985	0.833
7/16/1985	0.849
8/13/1985	0.877
9/10/1985	0.897
10/8/1985	0.921
11/5/1985	0.939
12/3/1985	0.947
12/19/1985	0.950
1/16/1986	0.955
2/13/1986	0.956
3/13/1986	0.963
4/10/1986	0.982
5/9/1986	0.993
6/5/1986	1.006
7/3/1986	1.011
7/8/1986	1.015
7/31/1986	1.049
8/28/1986	1.061
9/25/1986	1.076
10/23/1986	1.083
11/20/1986	1.077
12/17/1986	1.063
1/15/1987	1.046
2/12/1987	1.044
3/6/1987	1.042
4/2/1987	1.051
4/30/1987	1.093
5/28/1987	1.106
6/25/1987	1.103
7/23/1987	1.117
8/20/1987	1.149
9/17/1987	1.181
10/16/1987	1.205
11/12/1987	1.217
12/9/1987	1.216
1/7/1988	1.207
2/4/1988	1.198
3/3/1988	1.192
3/31/1988	1.184
4/28/1988	1.204
5/26/1988	1.216
6/23/1988	1.242
7/21/1988	1.268
8/18/1988	1.282
9/14/1988	1.301
10/13/1988	1.316
11/9/1988	1.320
12/8/1988	1.323
1/5/1989	1.322
2/2/1989	1.303
3/2/1989	1.292
3/29/1989	1.293
4/27/1989	1.312
5/25/1989	1.311
6/22/1989	1.338
7/20/1989	1.338
8/17/1989	1.349
9/14/1989	1.375
10/12/1989	1.395
11/8/1989	1.387
12/7/1989	1.367
1/5/1990	1.352
2/1/1990	1.340
3/2/1990	1.328
3/30/1990	1.330
4/26/1990	1.339
5/24/1990	1.345
6/21/1990	1.401
7/19/1990	1.436
8/16/1990	1.474
9/13/1990	1.500
10/11/1990	1.513
11/7/1990	1.511
12/6/1990	1.497
1/3/1991	1.487
1/31/1991	1.473
2/28/1991	1.459
3/27/1991	1.456
4/25/1991	1.448
5/23/1991	1.449
6/24/1991	1.450
7/18/1991	1.449
8/15/1991	1.471
9/13/1991	1.495
10/10/1991	1.520
11/7/1991	1.534
12/6/1991	1.509
1/2/1992	1.477
1/30/1992	1.445
2/27/1992	1.411
3/25/1992	1.396
4/23/1992	1.394
5/21/1992	1.389
6/18/1992	1.392
7/16/1992	1.430
8/13/1992	1.442
9/10/1992	1.464
10/8/1992	1.479
11/5/1992	1.451
12/3/1992	1.402
1/28/1993	1.404
2/26/1993	1.377
3/25/1993	1.356
4/23/1993	1.347
5/20/1993	1.340
6/16/1993	1.353
7/16/1993	1.379
8/12/1993	1.437
9/10/1993	1.494
10/7/1993	1.535
11/5/1993	1.542
12/3/1993	1.529
12/29/1993	1.490
1/27/1994	1.473
2/24/1994	1.453
3/24/1994	1.438
4/21/1994	1.448
5/19/1994	1.446
6/17/1994	1.446
7/13/1994	1.452
8/11/1994	1.482
9/8/1994	1.482
10/5/1994	1.480
11/3/1994	1.467
12/1/1994	1.459
12/29/1994	1.450
1/26/1995	1.433
2/23/1995	1.424
3/24/1995	1.416
4/20/1995	1.423
5/18/1995	1.422
6/15/1995	1.430
7/12/1995	1.441
8/11/1995	1.446
9/8/1995	1.452
10/4/1995	1.459
11/3/1995	1.449
11/30/1995	1.443
1/3/1996	1.435
1/25/1996	1.429
2/22/1996	1.426
3/21/1996	1.431
4/18/1996	1.457
5/16/1996	1.452
6/13/1996	1.454
7/11/1996	1.458
8/8/1996	1.469
9/5/1996	1.467
10/3/1996	1.463
10/30/1996	1.459
11/27/1996	1.457
12/23/1996	1.448
1/24/1997	1.439
2/19/1997	1.434
3/20/1997	1.423
4/17/1997	1.419
5/15/1997	1.419
6/12/1997	1.415
7/11/1997	1.417
8/8/1997	1.431
9/3/1997	1.441
10/2/1997	1.448
10/30/1997	1.445
11/25/1997	1.443
12/22/1997	1.438
1/21/1998	1.432
2/18/1998	1.425
3/18/1998	1.422
4/14/1998	1.422
5/13/1998	1.425
6/13/1998	1.434
7/9/1998	1.448
8/6/1998	1.469
9/4/1998	1.478
10/2/1998	1.479
10/27/1998	1.476
11/25/1998	1.471
12/17/1998	1.468
1/16/1999	1.461
2/11/1999	1.459
3/15/1999	1.455
4/9/1999	1.452
5/6/1999	1.457
6/4/1999	1.460
6/29/1999	1.459
7/30/1999	1.462
8/26/1999	1.470
9/27/1999	1.487
10/25/1999	1.499
11/23/1999	1.503
12/21/1999	1.522
1/11/2000	1.513
2/9/2000	1.530
3/9/2000	1.538
4/6/2000	1.535
5/8/2000	1.520
5/31/2000	1.521
6/29/2000	1.521
7/26/2000	1.522
8/25/2000	1.527
9/20/2000	1.543
10/19/2000	1.546
11/16/2000	1.539
12/15/2000	1.531
1/15/2001	1.529
2/9/2001	1.527
3/9/2001	1.531
4/6/2001	1.523
5/4/2001	1.530
5/31/2001	1.525
6/28/2001	1.520
7/25/2001	1.522
8/22/2001	1.527
9/19/2001	1.530
10/18/2001	1.529
11/14/2001	1.544
12/14/2001	1.558
1/9/2002	1.553
2/8/2002	1.539
3/7/2002	1.532
4/4/2002	1.526
5/1/2002	1.522
5/31/2002	1.524
6/26/2002	1.526
7/25/2002	1.527
8/23/2002	1.523
9/19/2002	1.525
10/16/2002	1.523
11/14/2002	1.517
12/11/2002	1.534
1/8/2003	1.533
2/5/2003	1.530
3/7/2003	1.522
4/4/2003	1.525
5/1/2003	1.525
5/30/2003	1.530
6/27/2003	1.536
7/23/2003	1.537
8/21/2003	1.536
9/18/2003	1.535
10/17/2003	1.535
11/14/2003	1.539
12/10/2003	1.535
1/8/2004	1.528
2/6/2004	1.517
3/4/2004	1.509
4/1/2004	1.504
4/29/2004	1.503
5/27/2004	1.501
6/24/2004	1.500
7/21/2004	1.499
8/19/2004	1.503
9/15/2004	1.504
10/12/2004	1.508
11/8/2004	1.506
12/7/2004	1.505
1/4/2005	1.506
2/3/2005	1.503
3/1/2005	1.497
3/28/2005	1.493
4/28/2005	1.497
5/25/2005	1.498
6/22/2005	1.510
7/18/2005	1.532
8/17/2005	1.531
9/21/2005	1.538
10/19/2005	1.568
11/15/2005	1.588
12/13/2005	1.585
1/5/2006	1.585
2/9/2006	1.573
3/8/2006	1.565
4/6/2006	1.558
5/4/2006	1.554
5/30/2006	1.556
6/29/2006	1.561
7/28/2006	1.558
8/24/2006	1.558
9/26/2006	1.559
10/23/2006	1.555
11/15/2006	1.573
12/16/2006	1.560
1/9/2007	1.552
2/5/2007	1.543
3/14/2007	1.556
4/4/2007	1.549
5/4/2007	1.543
5/31/2007	1.538
6/29/2007	1.538
7/26/2007	1.534
8/24/2007	1.533
9/18/2007	1.532
10/18/2007	1.542
11/19/2007	1.536
12/14/2007	1.532
1/7/2008	1.531
2/12/2008	1.529
3/13/2008	1.521
4/15/2008	1.521
5/8/2008	1.521
6/9/2008	1.538
7/11/2008	1.539
8/28/2008	1.547
10/2/2008	1.556
10/30/2008	1.569
11/26/2008	1.577
12/19/2008	1.586
1/22/2009	1.597
3/6/2009	1.609
4/3/2009	1.615
4/30/2009	1.605
5/28/2009	1.619
6/24/2009	1.629
7/21/2009	1.645
8/18/2009	1.652
9/17/2009	1.651
10/15/2009	1.635
11/13/2009	1.637
12/9/2009	1.622
1/6/2010	1.609
2/9/2010	1.622
3/11/2010	1.626
3/30/2010	1.627
5/4/2010	1.629
6/3/2010	1.623
7/1/2010	1.612
7/28/2010	1.604
8/27/2010	1.604
9/23/2010	1.600
10/20/2010	1.599
11/18/2010	1.600
12/14/2010	1.596
1/3/2011	1.591
2/1/2011	1.586
3/3/2011	1.581
3/31/2011	1.596
5/12/2011	1.590
6/7/2011	1.609
7/6/2011	1.622
8/3/2011	1.640
9/9/2011	1.672
10/7/2011	1.687
11/2/2011	1.670
12/1/2011	1.661
12/30/2011	1.650
1/24/2012	1.652
2/24/2012	1.653
3/22/2012	1.638
4/19/2012	1.633
5/17/2012	1.627
6/12/2012	1.645
7/5/2012	1.651
8/7/2012	1.652
9/7/2012	1.662
10/12/2012	1.653
11/7/2012	1.646
12/5/2012	1.644
1/7/2013	1.635
2/21/2013	1.624
4/1/2013	1.619
4/30/2013	1.615
5/30/2013	1.614
6/21/2013	1.621
7/24/2013	1.644
8/29/2013	1.662
9/25/2013	1.668
10/22/2013	1.660
11/21/2013	1.648
12/19/2013	1.641
1/30/2014	1.634
3/3/2014	1.629
4/3/2014	1.624
5/15/2014	1.622
6/11/2014	1.634
7/11/2014	1.647
8/8/2014	1.648
9/2/2014	1.646
10/10/2014	1.646
11/6/2014	1.652
12/10/2014	1.635
1/20/2015	1.621
2/24/2015	1.618
4/2/2015	1.611
4/27/2015	1.608
5/18/2015	1.609
6/25/2015	1.621
7/22/2015	1.630
9/9/2015	1.662
9/28/2015	1.665
10/28/2015	1.654
11/24/2015	1.659
12/23/2015	1.664
1/20/2016	1.664
3/1/2016	1.670
3/31/2016	1.671
5/3/2016	1.668
6/1/2016	1.665
7/1/2016	1.662
8/2/2016	1.675
8/26/2016	1.674
9/27/2016	1.679
10/21/2016	1.683
12/1/2016	1.692
12/22/2016	1.693
1/31/2017	1.689
3/1/2017	1.680
3/24/2017	1.674
4/20/2017	1.678
5/31/2017	1.679
6/22/2017	1.672
7/19/2017	1.678
8/16/2017	1.686
9/26/2017	1.688
10/20/2017	1.691
11/17/2017	1.696
12/28/2017	1.692
1/30/2018	1.689
2/28/2018	1.686
3/22/2018	1.683
4/18/2018	1.677
5/22/2018	1.685
6/25/2018	1.692
7/19/2018	1.695
8/31/2018	1.704
9/19/2018	1.695
10/18/2018	1.692
11/21/2018	1.693
12/18/2018	1.678
1/29/2019	1.670
2/27/2019	1.671
3/21/2019	1.678
4/19/2019	1.685
5/29/2019	1.691
6/28/2019	1.693
7/25/2019	1.701
8/22/2019	1.711
10/2/2019	1.711
11/4/2019	1.709
11/26/2019	1.712
12/27/2019	1.714
1/30/2020	1.698
3/4/2020	1.693
4/7/2020	1.690
5/1/2020	1.679
5/29/2020	1.679
6/24/2020	1.689
7/23/2020	1.692
8/20/2020	1.695
9/24/2020	1.701
10/29/2020	1.691
11/24/2020	1.696
12/30/2020	1.692

